ID,Version,VectorString,AccessVector,AccessComplexity,Authentication,ConfidentialityImpact,IntegrityImpact,AvailabilityImpact,BaseScore,Severity,ExploitabilityScore,ImpactScore,ACInsufInfo,ObtainAllPrivilege,ObtainUserPrivilege,ObtainOtherPrivilege,UserInteractionRequired
CVE-2017-0055,2.0,AV:N/AC:M/Au:N/C:N/I:P/A:N,NETWORK,MEDIUM,NONE,NONE,PARTIAL,NONE,4.3,MEDIUM,8.6,2.9,False,False,False,False,True
CVE-2017-0056,2.0,AV:L/AC:L/Au:N/C:C/I:C/A:C,LOCAL,LOW,NONE,COMPLETE,COMPLETE,COMPLETE,7.2,HIGH,3.9,10.0,False,False,False,False,False
CVE-2017-0057,2.0,AV:N/AC:M/Au:N/C:P/I:N/A:N,NETWORK,MEDIUM,NONE,PARTIAL,NONE,NONE,4.3,MEDIUM,8.6,2.9,False,False,False,False,True
CVE-2017-0058,2.0,AV:L/AC:M/Au:N/C:P/I:N/A:N,LOCAL,MEDIUM,NONE,PARTIAL,NONE,NONE,1.9,LOW,3.4,2.9,False,False,False,False,False
CVE-2017-0059,2.0,AV:N/AC:M/Au:N/C:P/I:N/A:N,NETWORK,MEDIUM,NONE,PARTIAL,NONE,NONE,4.3,MEDIUM,8.6,2.9,False,False,False,False,True
CVE-2017-0060,2.0,AV:L/AC:M/Au:N/C:P/I:N/A:N,LOCAL,MEDIUM,NONE,PARTIAL,NONE,NONE,1.9,LOW,3.4,2.9,False,False,False,False,True
CVE-2017-0061,2.0,AV:N/AC:H/Au:N/C:P/I:N/A:N,NETWORK,HIGH,NONE,PARTIAL,NONE,NONE,2.6,LOW,4.9,2.9,False,False,False,False,True
CVE-2017-0062,2.0,AV:L/AC:M/Au:N/C:P/I:N/A:N,LOCAL,MEDIUM,NONE,PARTIAL,NONE,NONE,1.9,LOW,3.4,2.9,False,False,False,False,False
CVE-2017-0063,2.0,AV:N/AC:M/Au:N/C:P/I:N/A:N,NETWORK,MEDIUM,NONE,PARTIAL,NONE,NONE,4.3,MEDIUM,8.6,2.9,False,False,False,False,True
CVE-2017-0064,2.0,AV:N/AC:M/Au:N/C:N/I:P/A:N,NETWORK,MEDIUM,NONE,NONE,PARTIAL,NONE,4.3,MEDIUM,8.6,2.9,False,False,False,False,True
CVE-2017-0065,2.0,AV:N/AC:M/Au:N/C:P/I:N/A:N,NETWORK,MEDIUM,NONE,PARTIAL,NONE,NONE,4.3,MEDIUM,8.6,2.9,False,False,False,False,True
CVE-2017-0066,2.0,AV:N/AC:H/Au:N/C:P/I:P/A:N,NETWORK,HIGH,NONE,PARTIAL,PARTIAL,NONE,4.0,MEDIUM,4.9,4.9,False,False,False,False,True
CVE-2017-0067,2.0,AV:N/AC:H/Au:N/C:C/I:C/A:C,NETWORK,HIGH,NONE,COMPLETE,COMPLETE,COMPLETE,7.6,HIGH,4.9,10.0,False,False,False,False,True
CVE-2017-0068,2.0,AV:N/AC:M/Au:N/C:P/I:N/A:N,NETWORK,MEDIUM,NONE,PARTIAL,NONE,NONE,4.3,MEDIUM,8.6,2.9,False,False,False,False,True
CVE-2017-0069,2.0,AV:N/AC:M/Au:N/C:N/I:P/A:N,NETWORK,MEDIUM,NONE,NONE,PARTIAL,NONE,4.3,MEDIUM,8.6,2.9,False,False,False,False,True
CVE-2017-0070,2.0,AV:N/AC:H/Au:N/C:C/I:C/A:C,NETWORK,HIGH,NONE,COMPLETE,COMPLETE,COMPLETE,7.6,HIGH,4.9,10.0,False,False,False,False,True
CVE-2017-0071,2.0,AV:N/AC:H/Au:N/C:C/I:C/A:C,NETWORK,HIGH,NONE,COMPLETE,COMPLETE,COMPLETE,7.6,HIGH,4.9,10.0,False,False,False,False,True
CVE-2017-0072,2.0,AV:N/AC:M/Au:N/C:C/I:C/A:C,NETWORK,MEDIUM,NONE,COMPLETE,COMPLETE,COMPLETE,9.3,HIGH,8.6,10.0,False,False,False,False,True
CVE-2017-0073,2.0,AV:N/AC:M/Au:N/C:P/I:N/A:N,NETWORK,MEDIUM,NONE,PARTIAL,NONE,NONE,4.3,MEDIUM,8.6,2.9,False,False,False,False,True
CVE-2017-0074,2.0,AV:A/AC:M/Au:S/C:N/I:N/A:P,ADJACENT_NETWORK,MEDIUM,SINGLE,NONE,NONE,PARTIAL,2.3,LOW,4.4,2.9,False,False,False,False,False
CVE-2017-0075,2.0,AV:A/AC:M/Au:S/C:C/I:C/A:C,ADJACENT_NETWORK,MEDIUM,SINGLE,COMPLETE,COMPLETE,COMPLETE,7.4,HIGH,4.4,10.0,False,False,False,False,False
CVE-2017-0076,2.0,AV:A/AC:M/Au:N/C:N/I:N/A:P,ADJACENT_NETWORK,MEDIUM,NONE,NONE,NONE,PARTIAL,2.9,LOW,5.5,2.9,False,False,False,False,False
CVE-2017-0077,2.0,AV:L/AC:L/Au:N/C:C/I:C/A:C,LOCAL,LOW,NONE,COMPLETE,COMPLETE,COMPLETE,7.2,HIGH,3.9,10.0,False,False,False,False,False
CVE-2017-0078,2.0,AV:L/AC:L/Au:N/C:C/I:C/A:C,LOCAL,LOW,NONE,COMPLETE,COMPLETE,COMPLETE,7.2,HIGH,3.9,10.0,False,False,False,False,False
CVE-2017-0079,2.0,AV:L/AC:L/Au:N/C:C/I:C/A:C,LOCAL,LOW,NONE,COMPLETE,COMPLETE,COMPLETE,7.2,HIGH,3.9,10.0,False,False,False,False,False
CVE-2017-0080,2.0,AV:L/AC:L/Au:N/C:C/I:C/A:C,LOCAL,LOW,NONE,COMPLETE,COMPLETE,COMPLETE,7.2,HIGH,3.9,10.0,False,False,False,False,False
CVE-2017-0081,2.0,AV:L/AC:L/Au:N/C:C/I:C/A:C,LOCAL,LOW,NONE,COMPLETE,COMPLETE,COMPLETE,7.2,HIGH,3.9,10.0,False,False,False,False,False
CVE-2017-0082,2.0,AV:L/AC:L/Au:N/C:C/I:C/A:C,LOCAL,LOW,NONE,COMPLETE,COMPLETE,COMPLETE,7.2,HIGH,3.9,10.0,False,False,False,False,False
